"GenotypicCorrelation.Var1","GenotypicCorrelation.Var2","GenotypicCorrelation.Freq","Note1","Note2"
"D50%SE","EW","79.3987 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","EW","60.7025 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","EW","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","EW","52.5514 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","EW","86.352 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","EW","47.8034 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","EW","30.1978 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","EW","40.7628 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","EW","47.8125 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","EW","25.904 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","EW","52.6358 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","EW","94.1905 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","EW","21.9475 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","EW","21.7898 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","EW","65.9493 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","EW","79.1119 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","EW","77.2442 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","EW","21.3324 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","EW","21.28 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","EW","30.7699 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","EW","46.0323 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","EW","204.4513 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","NoPN","307.5244 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","NoPN","283.3088 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","NoPN","209.6447 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","NoPN","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","NoPN","182.5849 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","NoPN","301.0856 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","NoPN","165.8581 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","NoPN","106.072 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","NoPN","137.4275 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","NoPN","161.7772 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","NoPN","89.7955 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","NoPN","176.8349 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","NoPN","334.1518 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","NoPN","67.9407 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","NoPN","65.9493 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","NoPN","232.4481 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","NoPN","272.2404 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","NoPN","264.3801 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","NoPN","63.7278 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","NoPN","63.5402 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","NoPN","98.2592 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","NoPN","155.5225 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","NoPN","722.7087 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","KL","360.4066 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","KL","332.4724 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","KL","246.5963 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","KL","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","KL","213.4552 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","KL","356.0378 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","KL","192.2747 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","KL","121.576 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","KL","162.9404 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","KL","191.0347 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","KL","105.9529 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","KL","208.7641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","KL","388.4602 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","KL","80.9318 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","KL","79.1119 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","KL","272.2404 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","KL","319.5309 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","KL","312.8224 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","KL","77.7333 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","KL","77.4893 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","KL","117.2484 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","KL","183.7865 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","KL","835.2781 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","KW","353.9728 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","KW","325.5528 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","KW","242.3655 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","KW","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","KW","208.9451 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","KW","347.3605 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","KW","190.6478 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","KW","121.1232 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","KW","158.2184 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","KW","187.1044 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","KW","101.9872 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","KW","205.4365 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","KW","382.5738 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","KW","78.3589 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","KW","77.2442 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","KW","264.3801 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","KW","312.8224 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","KW","307.6569 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","KW","74.8688 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","KW","74.6713 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","KW","116.3185 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","KW","181.7738 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","KW","832.5586 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","SW","83.0165 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","SW","76.4468 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","SW","58.7741 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","SW","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","SW","50.4796 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","SW","83.6713 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","SW","45.9624 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","SW","28.8921 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","SW","39.3736 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","SW","46.1214 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","SW","25.036 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","SW","51.0704 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","SW","91.5014 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","SW","21.2641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","SW","21.3324 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","SW","63.7278 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","SW","77.7333 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","SW","74.8688 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","SW","20.7671 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","SW","20.691 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","SW","29.6057 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","SW","44.213 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","SW","198.9636 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","TSWpP","82.7036 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","TSWpP","76.1762 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","TSWpP","58.6086 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","TSWpP","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","TSWpP","50.3411 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","TSWpP","83.383 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","TSWpP","45.8578 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","TSWpP","28.8428 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","TSWpP","39.2349 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","TSWpP","45.917 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","TSWpP","24.9625 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","TSWpP","50.8763 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","TSWpP","91.1515 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","TSWpP","21.2204 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","TSWpP","21.28 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","TSWpP","63.5402 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","TSWpP","77.4893 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","TSWpP","74.6713 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","TSWpP","20.691 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","TSWpP","20.6409 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","TSWpP","29.4992 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","TSWpP","44.105 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","TSWpP","198.4731 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","100SW","131.1496 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","100SW","120.8291 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","100SW","91.0263 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","100SW","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","100SW","78.2349 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","100SW","129.7758 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","100SW","71.8099 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","100SW","45.5383 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","100SW","59.956 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","100SW","70.8641 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","100SW","38.1196 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","100SW","77.9063 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","100SW","141.7996 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","100SW","31.2508 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","100SW","30.7699 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","100SW","98.2592 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","100SW","117.2484 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","100SW","116.3185 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","100SW","29.6057 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","100SW","29.4992 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","100SW","45.6152 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","100SW","69.063 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","100SW","312.3044 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","1000SW","208.2693 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","1000SW","191.9491 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
